"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height"
"S139","prolific",2025-10-03 20:06:01,59.1001833333333,"edge-chromium 140.0.0","false","Windows 10",1528,708
"S234","prolific",2025-10-06 07:49:05,25.2545333333333,"chrome 140.0.0","false","Windows 10",2560,1271
"S310","prolific",2025-10-03 17:10:00,43.1828166666667,"chrome 140.0.0","false","Windows 10",1904,951
"S232","prolific",2025-10-03 11:56:06,46.33345,"chrome 140.0.0","false","Windows 10",1600,739
"S266","prolific",2025-10-05 14:06:39,18.14235,"edge-chromium 141.0.0","false","Windows 10",2552,1284
"S064","prolific",2025-10-04 14:20:32,25.37005,"chrome 140.0.0","false","Windows 10",1280,593
"S355","prolific",2025-10-03 13:51:54,55.5962833333333,"chrome 140.0.0","false","Windows 10",897,506
"S194","prolific",2025-10-03 16:46:34,39.4669833333333,"chrome 140.0.0","false","Windows 10",1920,945
"S042","prolific",2025-10-04 07:30:55,31.35365,"firefox 143.0.0","false","Windows 10",1920,956
"S154","prolific",2025-10-03 16:49:51,30.6160333333333,"chrome 140.0.0","false","Windows 10",1280,585
"S134","prolific",2025-10-03 20:09:53,25.8654,"chrome 140.0.0","false","Windows 10",1280,597
"S313","prolific",2025-10-03 15:19:03,51.2835833333333,"edge-chromium 140.0.0","false","Windows 10",1912,1074
"S237","prolific",2025-10-03 18:27:10,32.2678333333333,"chrome 140.0.0","false","Windows 10",1366,641
"S141","prolific",2025-10-03 20:18:26,27.8009333333333,"chrome 140.0.0","false","Linux",824,1245
"S121","prolific",2025-10-03 16:00:36,64.2827,"chrome 140.0.0","false","Windows 10",1366,607
"S314","prolific",2025-10-03 13:42:37,35.7125166666667,"firefox 115.0.0","false","Mac OS",2508,1120
"S055","prolific",2025-10-03 15:17:19,41.94365,"edge-chromium 140.0.0","false","Windows 10",1912,954
"S215","prolific",2025-10-03 16:09:44,45.4242,"chrome 140.0.0","false","Windows 10",1163,532
"S152","prolific",2025-10-08 17:44:05,21.0783166666667,"firefox 143.0.0","false","Windows 10",1869,964
"S068","prolific",2025-10-03 16:47:19,31.5949,"chrome 140.0.0","false","Windows 10",2024,1430
"S090","prolific",2025-10-03 14:53:47,26.0963166666667,"firefox 143.0.0","false","Windows 10",1907,946
"S236","prolific",2025-10-03 16:50:43,25.1357333333333,"chrome 140.0.0","false","Windows 10",1920,945
"S077","prolific",2025-10-04 18:11:32,46.45505,"chrome 140.0.0","false","Linux",1507,2692
"S291","prolific",2025-10-03 21:05:38,130.99075,"chrome 141.0.0","true","Android OS",980,1820
"S135","prolific",2025-10-09 13:32:57,34.8778166666667,"chrome 141.0.0","false","Windows 10",1920,945
"S315","prolific",2025-10-06 12:05:17,28.7219333333333,"chrome 141.0.0","false","Windows 10",1536,703
"S197","prolific",2025-10-03 13:20:38,34.8552,"chrome 140.0.0","false","Mac OS",1261,737
"S330","prolific",2025-10-03 13:59:21,29.37855,"chrome 140.0.0","false","Mac OS",1429,709
"S229","prolific",2025-10-03 13:27:29,66.7703666666667,"edge-chromium 140.0.0","false","Windows 10",1318,642
"S244","prolific",2025-10-03 22:16:56,33.7971666666667,"edge-chromium 140.0.0","false","Windows 10",1272,594
"S305","prolific",2025-10-03 13:51:48,32.4641166666667,"chrome 140.0.0","false","Windows 10",1920,911
"S130","prolific",2025-10-03 13:16:41,22.63975,"chrome 140.0.0","false","Mac OS",1920,927
"S122","prolific",2025-10-06 14:16:25,17.5457166666667,"chrome 140.0.0","false","Windows 10",1920,911
"S208","prolific",2025-10-03 19:19:27,92.6772666666667,"chrome 140.0.0","false","Windows 10",1280,593
"S111","prolific",2025-10-06 08:47:34,33.60735,"chrome 140.0.0","false","Windows 10",1536,695
"S241","prolific",2025-10-03 10:20:03,34.49665,"chrome 140.0.0","false","Windows 10",1280,593
"S275","prolific",2025-10-04 23:49:15,669.900633333333,"chrome 140.0.0","false","Windows 10",1536,774
"S050","prolific",2025-10-03 16:09:42,27.765,"firefox 143.0.0","false","Windows 10",1869,921
"S298","prolific",2025-10-03 15:59:56,17.1349333333333,"edge-chromium 140.0.0","false","Windows 10",1528,738
"S246","prolific",2025-10-06 10:42:38,33.5427833333333,"chrome 141.0.0","false","Windows 10",1920,945
"S117","prolific",2025-10-03 17:40:38,32.7804,"chrome 140.0.0","false","Windows 10",1536,730
"S319","prolific",2025-10-03 18:51:49,29.3011833333333,"chrome 139.0.0","false","Windows 10",1536,695
"S278","prolific",2025-10-03 11:57:52,42.7811666666667,"chrome 109.0.0","false","Windows 10",1366,625
"S216","prolific",2025-10-05 20:23:24,19.0733833333333,"chrome 140.0.0","false","Windows 10",1280,585
"S088","prolific",2025-10-04 10:14:16,22.84635,"ios 18.6.0","true","iOS",980,1643
"S160","prolific",2025-10-03 14:54:36,58.3931166666667,"chrome 140.0.0","false","Mac OS",1637,1320
"S321","prolific",2025-10-03 15:58:14,15.22645,"chrome 140.0.0","false","Windows 10",1280,551
"S325","prolific",2025-10-03 21:47:25,24.71005,"chrome 138.0.0","false","Windows 10",1280,720
"S091","prolific",2025-10-03 13:17:03,44.1486666666667,"chrome 141.0.0","false","Windows 10",1366,633
"S227","prolific",2025-10-03 14:29:13,17.1666,"chrome 141.0.0","false","Windows 10",1604,775
"S062","prolific",2025-10-03 20:05:08,22.8280166666667,"chrome 140.0.0","false","Mac OS",1680,1050
"S217","prolific",2025-10-03 16:59:03,40.4282833333333,"chrome 140.0.0","false","Windows 10",1600,773
"S205","prolific",2025-10-03 15:16:27,25.0927833333333,"chrome 140.0.0","false","Windows 10",1360,607
"S343","prolific",2025-10-03 11:01:13,31.3311166666667,"chrome 138.0.0","false","Windows 10",1366,607
"S035","prolific",2025-10-03 09:30:24,31.5227833333333,"chrome 140.0.0","false","Windows 10",1920,953
"S072","prolific",2025-10-12 11:32:30,22.3364666666667,"chrome 141.0.0","false","Windows 10",2048,1111
"S100","prolific",2025-10-03 14:54:52,27.7949833333333,"chrome 140.0.0","false","Chrome OS",1366,791
"S163","prolific",2025-10-08 10:53:23,28.6165,"chrome 141.0.0","false","Mac OS",1037,783
"S243","prolific",2025-10-04 09:44:23,29.5401,"edge-chromium 141.0.0","false","Windows 10",1912,954
"S220","prolific",2025-10-04 08:33:24,49.3785333333333,"edge-chromium 140.0.0","false","Windows 10",1272,594
"S201","prolific",2025-10-03 18:05:09,20.6518166666667,"chrome 140.0.0","false","Windows 10",1536,703
"S253","prolific",2025-10-04 14:41:49,26.4552833333333,"chrome 128.0.0","false","Mac OS",1440,729
"S108","prolific",2025-10-09 08:47:20,16.5667833333333,"chrome 141.0.0","false","Windows 10",1536,695
"S212","prolific",2025-10-03 16:48:57,39.3917,"chrome 140.0.0","false","Windows 10",1280,585
"S104","prolific",2025-10-04 05:31:30,16.0874333333333,"edge-chromium 140.0.0","false","Mac OS",1666,822
"S132","prolific",2025-10-03 16:47:07,39.7528333333333,"chrome 140.0.0","false","Chrome OS",1601,766
"S256","prolific",2025-10-04 10:56:59,26.9701166666667,"chrome 140.0.0","false","Windows 10",1280,665
"S041","prolific",2025-10-04 09:21:22,20.3467166666667,"chrome 109.0.0","false","Windows 10",1366,657
"S159","prolific",2025-10-03 18:23:50,35.42695,"chrome 140.0.0","false","Windows 10",1366,633
"S103","prolific",2025-10-03 13:52:16,53.4328833333333,"chrome 140.0.0","false","Mac OS",1440,753
"S198","prolific",2025-10-03 11:57:41,26.97045,"chrome 140.0.0","false","Mac OS",1187,582
"S295","prolific",2025-10-04 07:29:59,17.6689166666667,"chrome 140.0.0","false","Windows 10",1920,911
"S109","prolific",2025-10-03 20:15:13,28.2604833333333,"chrome 141.0.0","false","Windows 10",1536,695
"S249","prolific",2025-10-07 08:24:45,28.8427833333333,"chrome 139.0.0","false","Chrome OS",1187,658
"S264","prolific",2025-10-03 15:17:14,23.2127666666667,"chrome 140.0.0","false","Mac OS",1033,710
"S300","prolific",2025-10-03 18:03:57,43.5020833333333,"edge-chromium 140.0.0","false","Windows 10",1272,594
"S075","prolific",2025-10-03 09:20:40,25.3072833333333,"chrome 140.0.0","false","Windows 10",1920,945
"S225","prolific",2025-10-03 16:51:23,59.8783166666667,"chrome 140.0.0","false","Windows 10",1366,641
"S113","prolific",2025-10-03 19:08:32,26.0940833333333,"chrome 139.0.0","false","Windows 10",1366,641
"S164","prolific",2025-10-03 09:16:56,42.6856,"safari 18.6.0","false","Mac OS",1366,914
"S202","prolific",2025-10-03 21:13:59,24.6102,"chrome 140.0.0","true","Android OS",1959,3647
"S165","prolific",2025-10-03 23:56:43,21.4062,"chrome 140.0.0","false","Chrome OS",1517,731
"S056","prolific",2025-10-03 15:17:00,33.88105,"chrome 140.0.0","false","Windows 10",1920,911
"S340","prolific",2025-10-03 10:32:41,42.6670333333333,"edge-chromium 141.0.0","false","Windows 10",1536,864
"S176","prolific",2025-10-03 12:33:34,59.2504833333333,"chrome 140.0.0","false","Windows 10",1536,776
"S228","prolific",2025-10-03 07:16:33,30.1808166666667,"chrome 140.0.0","false","Mac OS",1049,723
"S059","prolific",2025-10-03 13:54:53,52.5163833333333,"chrome 140.0.0","false","Windows 10",1920,991
"S290","prolific",2025-10-04 08:47:16,43.5744333333333,"safari 18.6.0","false","Mac OS",810,977
"S192","prolific",2025-10-06 08:43:54,40.20465,"chrome 109.0.0","false","Windows 10",1366,635
"S044","prolific",2025-10-03 08:16:58,39.1016666666667,"edge-chromium 140.0.0","false","Windows 10",1358,650
"S322","prolific",2025-10-03 17:35:25,29.6361666666667,"chrome 139.0.0","false","Windows 10",1920,945
"S116","prolific",2025-10-03 13:53:20,28.1568666666667,"chrome 141.0.0","false","Mac OS",728,713
"S051","prolific",2025-10-03 17:07:28,29.1674333333333,"chrome 140.0.0","false","Chrome OS",1366,633
"S335","prolific",2025-10-03 18:15:31,37.0129166666667,"chrome 140.0.0","false","Mac OS",1440,812
"S346","prolific",2025-10-03 18:08:01,36.3932666666667,"chrome 140.0.0","false","Windows 10",1920,945
"S047","prolific",2025-10-06 09:56:12,28.85985,"firefox 143.0.0","false","Windows 10",1280,586
"S282","prolific",2025-10-03 15:58:55,52.5842833333333,"chrome 140.0.0","false","Windows 10",1536,826
"S357","prolific",2025-10-03 15:59:34,32.0864833333333,"chrome 140.0.0","false","Windows 10",1746,968
"S318","prolific",2025-10-05 13:20:39,27.44175,"edge-chromium 141.0.0","false","Windows 10",1241,556
"S271","prolific",2025-10-09 08:29:40,49.587,"chrome 128.0.0","false","Mac OS",1680,873
"S279","prolific",2025-10-03 16:58:16,49.9466166666667,"chrome 140.0.0","false","Windows 10",1280,585
"S299","prolific",2025-10-03 16:55:14,45.9502166666667,"chrome 133.0.0","false","Mac OS",1710,981
"S045","prolific",2025-10-03 13:18:57,22.93715,"safari 17.4.1","false","Mac OS",1388,795
"S094","prolific",2025-10-03 13:52:01,41.5600833333333,"chrome 109.0.0","false","Windows 10",1464,681
"S222","prolific",2025-10-03 17:43:53,18.2516333333333,"chrome 140.0.0","false","Windows 10",1920,945
"S245","prolific",2025-10-03 20:17:16,32.5451166666667,"chrome 93.0.4577","false","Chrome OS",1920,961
"S136","prolific",2025-10-03 15:59:49,22.4565833333333,"firefox 143.0.0","false","Windows 10",1920,1075
"S043","prolific",2025-10-06 07:20:00,28.84555,"chrome 140.0.0","false","Windows 10",1463,746
"S142","prolific",2025-10-03 15:59:04,37.4823833333333,"firefox 143.0.0","false","Windows 10",2070,1055
"S140","prolific",2025-10-03 21:33:13,28.9687833333333,"safari 18.6.0","false","Mac OS",953,1145
"S338","prolific",2025-10-10 17:43:44,42.0978,"firefox 143.0.0","false","Mac OS",1280,664
"S206","prolific",2025-10-03 18:03:14,46.5334833333333,"chrome 140.0.0","false","Windows 10",1536,730
"S033","prolific",2025-10-03 05:22:03,24.0617,"firefox 143.0.0","false","Windows 10",949,811
"S106","prolific",2025-10-03 15:28:12,23.7919333333333,"chrome 138.0.0","false","Mac OS",1440,718
"S326","prolific",2025-10-03 16:14:17,30.6343833333333,"chrome 141.0.0","false","Windows 10",1919,1436
"S171","prolific",2025-10-03 10:27:53,44.5131333333333,"chrome 141.0.0","false","Windows 10",1091,689
"S096","prolific",2025-10-07 11:35:59,39.1699166666667,"safari 26.0.1","false","Mac OS",1535,937
