"Outcome","Emotion","Contrast","Parameter","Difference","CI_low","CI_high","pd","Credible","Effect"
"Artificiality","Positive - Low intensity","AI-Generated - Human Original","mu",0.00700182578365538,-0.0771185496470475,0.0898042947810778,0.572678571428571,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Original","precleft",0.190528245,-0.56092945325,0.943925699,0.691964285714286,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Original","precright",0.107570965,-0.5245989875,0.767087862499999,0.626071428571429,FALSE,"n.s."
"Artificiality","Positive - Low intensity","AI-Generated - Human Original","response",0.01046563207606,-0.0273651076960893,0.047520602355612,0.708928571428571,FALSE,"n.s."
"Artificiality","Positive - Low intensity","Human Forgery - Human Original","confleft",-0.0550787337059394,-0.099320332156608,-0.0098851544837423,0.990535714285714,TRUE,"Negative"
"Artificiality","Positive - Low intensity","Human Forgery - Human Original","confright",0.00455869160762298,-0.0277262435512957,0.0371230165130834,0.61,FALSE,"n.s."
"Artificiality","Positive - Low intensity","Human Forgery - Human Original","mu",-0.00688685087759094,-0.0919657165009605,0.0762172073832829,0.565535714285714,FALSE,"n.s."
"Artificiality","Positive - Low intensity","Human Forgery - Human Original","precleft",0.17541714,-0.56677424875,0.955038639999999,0.677321428571429,FALSE,"n.s."
"Artificiality","Positive - Low intensity","Human Forgery - Human Original","precright",0.36343712,-0.2879537745,1.0251764575,0.862678571428571,FALSE,"n.s."
"Artificiality","Positive - Low intensity","Human Forgery - Human Original","response",0.00830928302879563,-0.0283658340436599,0.0459881952052865,0.661428571428571,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Forgery","confleft",0.0105954538384354,-0.0190114540684637,0.0411750259404886,0.758214285714286,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Forgery","confright",0.00999553877666293,-0.0114200861886692,0.0312672049282839,0.824821428571429,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Forgery","mu",0.0287350636884284,-0.0163407165158246,0.0735933834654342,0.893571428571429,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Forgery","precleft",0.3692372575,-0.524101511024999,1.396255220125,0.784107142857143,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Forgery","precright",-0.238379511325499,-0.875377760549999,0.4127800803,0.78125,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Forgery","response",0.0171476204244847,-0.00970157942623778,0.0435007433920106,0.897321428571429,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Original","confleft",-0.00669813992480556,-0.0371011280077464,0.0221781198293917,0.679642857142857,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Original","confright",0.0015310725219016,-0.0190900799108691,0.022358930340797,0.559821428571429,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Original","mu",-0.0219221831569493,-0.0637992768130653,0.0203523514051578,0.84,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Original","precleft",0.55238388,-0.2049505977925,1.474514637075,0.91875,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Original","precright",0.0895587705000001,-0.387125152125,0.67729197655,0.635714285714286,FALSE,"n.s."
"Authenticity","Negative - High intensity","AI-Generated - Human Original","response",-0.0105354156337814,-0.0358983564415566,0.0147209922445455,0.79125,FALSE,"n.s."
"Authenticity","Negative - High intensity","Human Forgery - Human Original","confleft",-0.0175467742999414,-0.044796732292777,0.010050678565566,0.890892857142857,FALSE,"n.s."
"Authenticity","Negative - High intensity","Human Forgery - Human Original","confright",-0.00831556012672974,-0.0282890794696066,0.0114654422327832,0.79625,FALSE,"n.s."
"Authenticity","Negative - High intensity","Human Forgery - Human Original","mu",-0.0505949564293014,-0.091713547577946,-0.00832560142744558,0.99,TRUE,"Negative"
"Authenticity","Negative - High intensity","Human Forgery - Human Original","precleft",0.183364738,-0.44461656875,0.899153495249999,0.711964285714286,FALSE,"n.s."
"Authenticity","Negative - High intensity","Human Forgery - Human Original","precright",0.337260429999999,-0.1525760559,0.91499537775,0.901607142857143,FALSE,"n.s."
"Authenticity","Negative - High intensity","Human Forgery - Human Original","response",-0.0274051562103428,-0.0521337584173398,-0.00260273197172677,0.986071428571429,TRUE,"Negative"
"Authenticity","Negative - Low intensity","AI-Generated - Human Forgery","confleft",-0.00422225421323802,-0.0325412669373871,0.02372781393395,0.612678571428571,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Forgery","confright",-0.00282404236783868,-0.0244711704210864,0.0184823425935094,0.607321428571429,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Forgery","mu",-0.00832436031015427,-0.0519661336409863,0.0346866451517004,0.638035714285714,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Forgery","precleft",-0.265473724,-1.2576251925,0.600592921437499,0.712142857142857,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Forgery","precright",-0.2669171266,-0.792151241,0.237990399475,0.848928571428571,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Forgery","response",-0.00447736829763484,-0.0302703913221706,0.0202052488731582,0.640714285714286,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Original","confleft",0.00144329214191113,-0.0248198006554201,0.0290270774470324,0.544642857142857,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Original","confright",-0.0116042819964809,-0.0319126084541725,0.00816939351938527,0.871428571428571,FALSE,"n.s."
"Authenticity","Negative - Low intensity","AI-Generated - Human Original","mu",-0.0182020861152885,-0.0589022603088963,0.0234875082381809,0.805178571428571,FALSE,"n.s."
