"Belief","Parameter","Contrast","Path","Median","CI_low","CI_high","pd"
"Authenticity","mu","Human Forgery - Human Original","Indirect (Worth)",-0.542441330259765,-1.39280638637922,0.271951447756083,0.90325
"Authenticity","mu","Human Forgery - Human Original","Mediator (Beauty)",-3.62835865890395,-4.49333384758917,-2.70132648284384,1
"Authenticity","mu","Human Forgery - Human Original","Mediator (Valence)",-3.78027782510965,-4.7927097217257,-2.80921939247012,1
"Authenticity","mu","Human Forgery - Human Original","Mediator (Meaning)",-4.5136642103325,-5.57483282539074,-3.44934506964129,1
"Authenticity","mu","Human Forgery - Human Original","Mediator (Worth)",-7.12982513022067,-8.14349800423283,-6.0697833184624,1
"Authenticity","mu","AI-Generated - Human Forgery","Total",1.33966012335962,-0.96354800195206,3.31501279591562,0.8855
"Authenticity","mu","AI-Generated - Human Forgery","Direct",2.0673055466175,-0.123459067202114,4.21272329831358,0.96775
"Authenticity","mu","AI-Generated - Human Forgery","Indirect (joint)",-0.73100121607651,-1.30924134161391,-0.217968447155547,0.996
"Authenticity","mu","AI-Generated - Human Forgery","Indirect (joint, exact)",-0.736715225978513,-1.27050832931009,-0.237998194355016,0.99675
"Authenticity","mu","AI-Generated - Human Forgery","Indirect (Beauty)",-0.242090856003783,-0.557356697403252,0.0561348020182141,0.9535
"Authenticity","mu","AI-Generated - Human Forgery","Indirect (Valence)",-0.150772421693095,-0.44347581036177,0.130680414659873,0.865
"Authenticity","mu","AI-Generated - Human Forgery","Indirect (Meaning)",-0.37888908038604,-0.844787714641844,0.0942055705281722,0.952
"Authenticity","mu","AI-Generated - Human Forgery","Indirect (Worth)",0.0450893086842264,-0.554271486359882,0.648388282081313,0.5615
"Authenticity","mu","AI-Generated - Human Forgery","Mediator (Beauty)",-2.74951734876103,-3.6703617001817,-1.82258440316076,1
"Authenticity","mu","AI-Generated - Human Forgery","Mediator (Valence)",-2.80275062883215,-3.81107739140305,-1.74913822907787,1
"Authenticity","mu","AI-Generated - Human Forgery","Mediator (Meaning)",-5.96470571182704,-7.20384342811485,-4.81470268608543,1
"Authenticity","mu","AI-Generated - Human Forgery","Mediator (Worth)",-4.972002541933,-5.95370589092694,-3.91779280838378,1
"Authenticity","confright","AI-Generated - Human Original","Total",-0.983394911557905,-2.03618031956811,0.0449798251268289,0.96525
"Authenticity","confright","AI-Generated - Human Original","Direct",0.623441494488536,-0.430050116228109,1.83022728671355,0.877
"Authenticity","confright","AI-Generated - Human Original","Indirect (joint)",-1.61507446005362,-2.196530563609,-1.02166771850604,1
"Authenticity","confright","AI-Generated - Human Original","Indirect (joint, exact)",-1.62148026898364,-2.16486178417684,-1.03354657636379,1
"Authenticity","confright","AI-Generated - Human Original","Indirect (Beauty)",-0.113317841911414,-0.466395365403639,0.252032402417181,0.73275
