"Participant","Item","Gaze_Entropy","Gaze_Drift","Gaze_pLeft","Gaze_pCenter","Gaze_pTop","Gaze_nSamples"
"S009","51204.jpg",0.879131262476778,0.186972519615117,0.99009900990099,0.0099009900990099,0,101
"S009","51208.jpg",0.673914831829492,0.761265128887147,0.828571428571429,0.0285714285714286,0,35
"S009","51322.jpg",0.684784569110671,0.316206224080631,0.612244897959184,0.408163265306122,0.173469387755102,98
"S009","51323.jpg",0.607461293336012,0.874646754644094,0.41025641025641,0.0256410256410256,0,39
"S009","51326.jpg",0.775684677513213,0.124023897915513,0.875,0.284090909090909,0,88
"S009","51328.jpg",0.615612105235632,0.296075646558876,0.413461538461538,0.0288461538461538,0,104
"S011","10130.jpg",0.796457973268539,0.216657660303361,0.744360902255639,0.62406015037594,0.781954887218045,133
"S011","10224.jpg",0.810819899356906,0.355046006068802,0.548076923076923,0.778846153846154,0.942307692307692,104
"S011","10226.jpg",0.851803793907307,0.0902567380569609,0.886792452830189,0.169811320754717,0.915094339622642,106
"S011","10229.jpg",0.865725664999153,0.221325479148876,0.991735537190083,0.206611570247934,0.834710743801653,121
"S011","10514.jpg",0.622123618558302,0.451228139246827,0.798319327731092,0.0252100840336134,0.957983193277311,119
"S011","10624.jpg",0.792289988336465,0.662567501413188,0.580645161290323,0.346774193548387,0.790322580645161,124
"S011","10648.jpg",0.756317359455435,0.37279753899125,0.733812949640288,0.676258992805755,0.669064748201439,139
"S011","11014.jpg",0.741543477452287,0.970381148782858,0.653225806451613,0.217741935483871,0.209677419354839,124
"S011","11016.jpg",0.809980077232222,0.47888505546538,0.869565217391304,0.326086956521739,0.304347826086957,138
"S011","11026.jpg",0.792597003376507,0.691994051951925,0.676470588235294,0.0661764705882353,0.845588235294118,136
"S011","11122.jpg",0.778288290359224,0.224105152121562,0.377622377622378,0.517482517482518,0.979020979020979,143
"S011","11126.jpg",0.871233465601316,0.270834541264633,0.857142857142857,0.435714285714286,0.371428571428571,140
"S011","11127.jpg",0.777073885344237,0.319361247823473,0.838028169014085,0.183098591549296,0.436619718309859,142
"S011","20127.jpg",0.862016675724879,0.136315738483647,0.726027397260274,0.479452054794521,0.321917808219178,146
"S011","20501.jpg",0.837180830226299,0.0726428167770461,0.63013698630137,0.643835616438356,0.321917808219178,146
"S011","20714.jpg",0.802033392465295,0.197499986703805,0.7,0.469230769230769,0.192307692307692,130
"S011","20718.jpg",0.873219959159985,0.140912628709327,0.682758620689655,0.496551724137931,0.63448275862069,145
"S011","21022.jpg",0.835918394606776,0.182419935373668,0.517241379310345,0.675862068965517,0.8,145
"S011","30201.jpg",0.761524398677027,0.31064797561187,0.638888888888889,0.743055555555556,0.159722222222222,144
"S011","30211.jpg",0.756453556883967,0.498148227630546,0.619718309859155,0.535211267605634,0.549295774647887,142
"S011","30215.jpg",0.886178129985231,0.270782577603152,0.870748299319728,0.503401360544218,0.326530612244898,147
"S011","30403.jpg",0.812084456849347,0.195855183623542,0.764705882352941,0.382352941176471,0.514705882352941,136
"S011","30408.jpg",0.785389428156613,0.626540500702707,0.471074380165289,0.429752066115702,0.43801652892562,121
"S011","30620.jpg",0.808966632217471,0.200118444980842,0.292517006802721,0.904761904761905,0.285714285714286,147
"S011","30622.jpg",0.823706343795201,0.724504743755282,0.470588235294118,0.558823529411765,0.786764705882353,136
"S011","31006.jpg",0.730626178250299,0.738322776804824,0.6953125,0.21875,0.3984375,128
"S011","40207.jpg",0.778878269821136,0.723704354982129,0.889830508474576,0.00847457627118644,0.694915254237288,118
"S011","40215.jpg",0.853501600876664,0.512363770897723,0.659863945578231,0.394557823129252,1,147
"S011","40224.jpg",0.773604345565325,0.244373207385704,0.71830985915493,0.563380281690141,0.802816901408451,142
"S011","40229.jpg",0.858902981328631,0.498730154629897,0.284671532846715,0.27007299270073,0.927007299270073,137
"S011","40303.jpg",0.69034764248064,0.143282784052571,0.756944444444444,0.194444444444444,0.819444444444444,144
"S011","40309.jpg",0.774045322208448,0.230846689652368,0.49618320610687,0.473282442748092,0.66412213740458,131
"S011","40716.jpg",0.812030632231066,0.521227478417896,0.517482517482518,0.475524475524476,0.657342657342657,143
"S011","41004.jpg",0.802961420846987,0.119195443836082,0.737931034482759,0.427586206896552,0.462068965517241,145
"S011","41026.jpg",0.837550152650555,0.284414225045282,0.419847328244275,0.49618320610687,0.595419847328244,131
"S011","50815.jpg",0.77609493877044,0.79992927125838,0.541353383458647,0.203007518796992,0.827067669172932,133
"S011","50937.jpg",0.674492814330031,0.577133786205727,0.391304347826087,0.369565217391304,0.771739130434783,92
"S011","51003.jpg",0.78847088538404,0.650474741771756,0.606299212598425,0.503937007874016,0.574803149606299,127
"S011","51204.jpg",0.828553878154732,0.550858158598423,0.261538461538462,0.461538461538462,0.807692307692308,130
"S011","51208.jpg",0.828996133139585,0.694274944524652,0.21505376344086,0.193548387096774,0.763440860215054,93
"S011","51322.jpg",0.892437400622581,0.0735337267223505,0.774436090225564,0.263157894736842,0.353383458646617,133
"S011","51323.jpg",0.781419714075115,0.177697488948336,0.646341463414634,0.829268292682927,0.609756097560976,82
"S011","51326.jpg",0.785536196099211,0.232180726393901,0.651515151515151,0.674242424242424,0.378787878787879,132
"S011","51328.jpg",0.780861474220798,0.331112700471995,0.576,0.696,0.44,125
"S012","10130.jpg",0.925604694974594,0.1829072502874,0.910958904109589,0.534246575342466,0.431506849315068,146
"S012","10224.jpg",0.840438199367036,0.00932672378193712,0.806896551724138,1,0.137931034482759,145
"S012","10226.jpg",0.727689709783215,0.304492499467766,0.7,0.861538461538462,0.315384615384615,130
"S012","10229.jpg",0.804715998920527,0.29133171977074,0.788732394366197,0.746478873239437,0.21830985915493,142
"S012","10514.jpg",0.865716024100186,0.370619608853786,0.65034965034965,0.447552447552448,0.230769230769231,143
"S012","10601.jpg",0.758141660144342,0.269764483031403,0.444444444444444,0.729166666666667,0.25,144
