"Model","Parameter","Contrast","At","Moderator","Median","CI_low","CI_high","pd","Table"
"BeautySRControl","mu","AI-Generated",NA,NA,11.9234984294561,10.1966442304372,13.7562276787171,1,"Beauty2 slope"
"BeautySRControl","mu","AI-Generated - Human Original",NA,NA,0.259746457859985,-1.88238854552353,2.36061358668437,0.59675,"Beauty2 slope"
"BeautySRControl","mu","Human Forgery - Human Original",NA,NA,0.789803911884904,-1.11520178658528,2.6664951046958,0.80375,"Beauty2 slope"
"BeautySRControl","mu","AI-Generated - Human Forgery",NA,NA,-0.535998952168068,-2.73410278618916,1.63650636381854,0.68375,"Beauty2 slope"
"BeautySRControl","confright","AI-Generated - Human Original","Low",-0.227550940030373,-5.17311590016097,-6.74997393569958,-3.59336803859883,1,"Gap"
"BeautySRControl","confright","AI-Generated - Human Original","Average",0,-5.55534479281233,-6.78500316642117,-4.34147237102907,1,"Gap"
"BeautySRControl","confright","AI-Generated - Human Original","High",0.227550940030373,-5.92744931208475,-7.66154912129434,-4.3298720499026,1,"Gap"
"BeautySRControl","confright","AI-Generated - Human Original","High - Low",NA,-0.79970943015226,-2.80823137855647,1.58284475291955,0.76275,"Gap"
"BeautySRControl","confright","Human Forgery - Human Original","Low",-0.227550940030373,-2.7181323461471,-4.22562507052795,-1.0839059060468,1,"Gap"
"BeautySRControl","confright","Human Forgery - Human Original","Average",0,-3.80444949383481,-5.04033504252181,-2.71203248699438,1,"Gap"
"BeautySRControl","confright","Human Forgery - Human Original","High",0.227550940030373,-4.93408239755757,-6.53514016453382,-3.31602189933344,1,"Gap"
"BeautySRControl","confright","Human Forgery - Human Original","High - Low",NA,-2.21672988918952,-4.2602455054745,0.123013741863931,0.97425,"Gap"
"BeautySRControl","confright","AI-Generated - Human Forgery","Low",-0.227550940030373,-2.46554150101097,-4.14744601252884,-0.898917519823272,0.99875,"Gap"
"BeautySRControl","confright","AI-Generated - Human Forgery","Average",0,-1.76270351285258,-3.01501703005909,-0.574157762320465,0.99675,"Gap"
"BeautySRControl","confright","AI-Generated - Human Forgery","High",0.227550940030373,-1.0226265919267,-2.69742548821429,0.693660953220782,0.87925,"Gap"
"BeautySRControl","confright","AI-Generated - Human Forgery","High - Low",NA,1.44690581629385,-0.668961341176988,3.78443334359463,0.9,"Gap"
"BeautySRControl","confright","Human Original",NA,NA,0.904140771399858,0.500553439534535,1.27628965240445,1,"SR slope"
"BeautySRControl","confright","Human Forgery",NA,NA,0.417359746351431,0.0485464723932738,0.812506463657325,0.97975,"SR slope"
"BeautySRControl","confright","AI-Generated",NA,NA,0.730999974721494,0.37610254085943,1.09734701251973,1,"SR slope"
"BeautySRControl","confright","AI-Generated - Human Original",NA,NA,-0.175946650650918,-0.61776970467059,0.347936611719418,0.763,"SR slope"
"BeautySRControl","confright","Human Forgery - Human Original",NA,NA,-0.487241886493892,-0.934485576352562,0.0293059788082917,0.97425,"SR slope"
"BeautySRControl","confright","AI-Generated - Human Forgery",NA,NA,0.318089997239729,-0.147143905309566,0.831652123297055,0.8995,"SR slope"
"BeautySRControl","confright","Human Original",NA,NA,2.58258613580409,2.08440831506466,3.09352223478151,1,"Beauty2 slope"
"BeautySRControl","confright","Human Forgery",NA,NA,2.00140334334455,1.4478010973257,2.51736951828124,1,"Beauty2 slope"
"BeautySRControl","confright","AI-Generated",NA,NA,2.02251622395251,1.50288278132543,2.49426082969757,1,"Beauty2 slope"
"BeautySRControl","confright","AI-Generated - Human Original",NA,NA,-0.563327773695588,-1.14834611130893,0.00943230169951637,0.972,"Beauty2 slope"
"BeautySRControl","confright","Human Forgery - Human Original",NA,NA,-0.589214768692421,-1.14823540066773,0.0116539617721401,0.976,"Beauty2 slope"
"BeautySRControl","confright","AI-Generated - Human Forgery",NA,NA,0.0260061171372825,-0.631857487130913,0.638187423863965,0.5315,"Beauty2 slope"
"BeautySRControl","confleft","AI-Generated - Human Original","Low",-0.227550940030373,3.19038532766199,0.668233336921475,5.74785072239595,0.992,"Gap"
"BeautySRControl","confleft","AI-Generated - Human Original","Average",0,4.3474605926278,2.26172014615924,6.27307183577568,1,"Gap"
"BeautySRControl","confleft","AI-Generated - Human Original","High",0.227550940030373,5.51858907021559,2.55300425701654,8.55721479962206,1,"Gap"
"BeautySRControl","confleft","AI-Generated - Human Original","High - Low",NA,2.32747993236392,-1.70133224779566,6.07664338411604,0.8765,"Gap"
