"Participant","Item","RT","Recognition","PerceivedArtificiality","AnswerCondition","AnswerBelief","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion","Type","Belief"
"S120","10601.jpg",10.035,"No",0.1,"Not recognized","Not recognized","AI-Generated",12,"Green",1920,953,0.698333333333333,0.833333333333333,0.666666666666667,0.4,35,0.385,0.38,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Boccioni, Umberto","Riot in the Galleria (A Brawl)",0.73015873015873,0.611111111111111,0.9125,0.761363636363636,0.75,0,0.5,0.583333333333333,"Positive - High intensity","Old","AI Copy"
"S120","30601.jpg",10.319,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","40303.jpg",19.723,"Yes",NA,"AI-Generated","AI Copy","Human Forgery",32,"Blue",1920,953,0.05,0,0.5,0,4,0.365,0.385,"Still Life","Idealistic tendencies","Romantic and Realism","Courbet, Jean Désiré Gustave","The Deer",0.26984126984127,0,0.8625,0.625,0.0833333333333334,0,0,0.141666666666667,"Negative - High intensity","Old","AI Copy"
"S120","30219.jpg",9.831,"No",-0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","51330.jpg",10.778,"No",0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","50937.jpg",16.518,"Yes",NA,"AI-Generated","AI Copy","Human Forgery",11,"Blue",1920,953,0.121666666666667,0.166666666666667,0,0,25,0.705,0.385,"Abstract","Constructivist tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square",0.396825396825397,0.486111111111111,0.1875,0.170454545454545,1,0,0.333333333333333,0.295,"Negative - Low intensity","Old","Human Forgery"
"S120","50935.jpg",10.795,"No",0.4,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","10248.jpg",10.158,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","31006.jpg",10.363,"No",0.3,"Not recognized","Not recognized","AI-Generated",24,"Green",1920,953,0.6,0.5,0,0.2,21,0.3,0.71,"Landscape","Realistic tendencies II. (20th century)","Romantic and Realism","O`Keeffe, Giorgia","Ends of Barns",0.73015873015873,0.861111111111111,0,0.170454545454545,0.0833333333333334,0,0.666666666666667,0.566666666666667,"Positive - Low intensity","Old","AI Original"
"S120","10229.jpg",8.955,"No",-0.2,"Not recognized","Not recognized","Human Original",33,"Red",1920,953,0.468333333333333,0.5,0.5,0.2,5,0.67,0.695,"Scene","Baroque and Rococo","Classical","Zurbarán de, Francisco","Christ and the Virgin in the House at Nazareth",0.555555555555555,0.361111111111111,0.3375,0.761363636363636,0.333333333333333,0,0.333333333333333,0.331666666666667,"Negative - Low intensity","Old","Human Original"
