"Type","Predictor","Outcome","Effect","Median","CI_low","CI_high","pd"
"joint","Valence_w","P(AI-Generated | recognised)","+2 SD",-6.43188079920098,-12.1917584367866,-0.739505978610758,0.984
"joint","Valence_w","P(AI-Generated | recognised)","Extremity",0.103014102247045,-4.65187236653856,4.61646514129848,0.51575
"joint","Valence_w","P(AI-Generated | recognised)","Asymmetry",-12.8842044908414,-20.1522863561706,-5.92419737175785,1
"unique","Beauty_w","P(AI-Generated | recognised)","-2 SD",4.7979314753657,-1.43362383124707,11.5277072149562,0.93275
"unique","Beauty_w","P(AI-Generated | recognised)","-1 SD",2.15003814903317,-0.31524333141796,4.68915662212027,0.9515
"unique","Beauty_w","P(AI-Generated | recognised)","+1 SD",-1.66455590561475,-4.54317295453195,1.38094510368836,0.85525
"unique","Beauty_w","P(AI-Generated | recognised)","+2 SD",-3.03167915966294,-10.5746244783601,4.55765910751077,0.7665
"unique","Beauty_w","P(AI-Generated | recognised)","Extremity",0.895433702951797,-4.22061221888713,6.14555781790829,0.64075
"unique","Beauty_w","P(AI-Generated | recognised)","Asymmetry",-7.83703398913262,-17.074799034626,2.09010059830882,0.938
"unique","Valence_w","P(AI-Generated | recognised)","-2 SD",2.72243090017756,-4.45507491631839,9.41155126449533,0.77775
"unique","Valence_w","P(AI-Generated | recognised)","-1 SD",1.62249269540679,-0.975941627723991,4.17755737339613,0.8795
"unique","Valence_w","P(AI-Generated | recognised)","+1 SD",-2.03555971653221,-5.03254355078742,0.850036116565139,0.91275
"unique","Valence_w","P(AI-Generated | recognised)","+2 SD",-4.45310213430851,-11.608823619424,3.28745323699151,0.87225
"unique","Valence_w","P(AI-Generated | recognised)","Extremity",-0.773640572153884,-6.36119327254475,4.47154011657209,0.61825
"unique","Valence_w","P(AI-Generated | recognised)","Asymmetry",-7.09137460287362,-16.6336786303613,2.17905416002449,0.928
