"Model","Contrast","Parameter","Difference","CI_low","CI_high","Difference_pct","CI_low_pct","CI_high_pct","pd","Credible","Effect"
"BeautySR","Human Forgery - Human Original","pmid",-0.00229896689845012,-0.00904401671919232,0.00415988077135973,-0.229896689845012,-0.904401671919232,0.415988077135973,0.763,FALSE,"n.s."
"BeautySR","AI-Generated - Human Forgery","response",-0.034538120318,-0.0493037765087821,-0.0204295929035081,-3.4538120318,-4.93037765087821,-2.04295929035081,1,TRUE,"Negative"
"BeautySR","AI-Generated - Human Forgery","mu",-0.0811242884703108,-0.124019150981566,-0.0392524290403324,-8.11242884703108,-12.4019150981566,-3.92524290403324,1,TRUE,"Negative"
"BeautySR","AI-Generated - Human Forgery","confright",-0.0170261028766765,-0.0295999700699569,-0.00484829189915634,-1.70261028766765,-2.95999700699569,-0.484829189915634,0.9955,TRUE,"Negative"
"BeautySR","AI-Generated - Human Forgery","confleft",0.0192566905801521,-0.000550093706707126,0.0398776290470714,1.92566905801521,-0.0550093706707125,3.98776290470714,0.96925,FALSE,"n.s."
"BeautySR","AI-Generated - Human Forgery","precright",-0.0192360200000001,-0.48937119525,0.449102883,NA,NA,NA,0.5305,FALSE,"n.s."
"BeautySR","AI-Generated - Human Forgery","precleft",-0.27224079105,-0.57613973525,0.0123439435750004,NA,NA,NA,0.96875,FALSE,"n.s."
"BeautySR","AI-Generated - Human Forgery","pex",-8.7594954511216e-05,-0.00337701869113986,0.00331942104543446,-0.0087594954511216,-0.337701869113986,0.331942104543446,0.5225,FALSE,"n.s."
"BeautySR","AI-Generated - Human Forgery","bex",0.0504832949098589,-0.0924094888397331,0.191460760685312,5.04832949098589,-9.24094888397331,19.1460760685312,0.76225,FALSE,"n.s."
"BeautySR","AI-Generated - Human Forgery","pmid",0.00626720785304525,-0.00015109199832998,0.0134472584660121,0.626720785304525,-0.015109199832998,1.34472584660121,0.9715,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Original","response",-0.0659713865711186,-0.0802327250286417,-0.0518775617549195,-6.59713865711186,-8.02327250286417,-5.18775617549195,1,TRUE,"Negative"
"BeautySRControl","AI-Generated - Human Original","mu",-0.136980224204678,-0.179150398874943,-0.0940453657015369,-13.6980224204678,-17.9150398874943,-9.40453657015369,1,TRUE,"Negative"
"BeautySRControl","AI-Generated - Human Original","confright",-0.0555534479281233,-0.0680498019187473,-0.0435601507271378,-5.55534479281233,-6.80498019187473,-4.35601507271378,1,TRUE,"Negative"
"BeautySRControl","AI-Generated - Human Original","confleft",0.043474605926278,0.023053501572156,0.0634234794119277,4.3474605926278,2.3053501572156,6.34234794119277,1,TRUE,"Positive"
"BeautySRControl","AI-Generated - Human Original","precright",0.865381085,0.51442536775,1.2494992625,NA,NA,NA,1,TRUE,"Positive"
"BeautySRControl","AI-Generated - Human Original","precleft",-0.00394449694999999,-0.2803108025,0.2726486185,NA,NA,NA,0.51275,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Original","pex",-0.00208788405141115,-0.00597955625097453,0.000724878687562114,-0.208788405141115,-0.597955625097453,0.0724878687562114,0.9315,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Original","bex",0.0425923737431709,-0.0733605510395166,0.177004157031637,4.25923737431709,-7.33605510395166,17.7004157031637,0.75775,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Original","pmid",0.00401089916425535,-0.00276877767950763,0.0113596763188308,0.401089916425535,-0.276877767950763,1.13596763188308,0.8715,FALSE,"n.s."
"BeautySRControl","Human Forgery - Human Original","response",-0.0334281637186192,-0.0460775222731158,-0.0206167955294236,-3.34281637186192,-4.60775222731158,-2.06167955294236,1,TRUE,"Negative"
"BeautySRControl","Human Forgery - Human Original","mu",-0.0582797537186839,-0.0952740907096119,-0.0209863405968397,-5.82797537186839,-9.52740907096119,-2.09863405968397,0.9985,TRUE,"Negative"
"BeautySRControl","Human Forgery - Human Original","confright",-0.0380444949383481,-0.0496941374040501,-0.0263014866491996,-3.80444949383481,-4.96941374040501,-2.63014866491996,1,TRUE,"Negative"
"BeautySRControl","Human Forgery - Human Original","confleft",0.0237029441164328,0.00333589028108296,0.0434178377565845,2.37029441164328,0.333589028108296,4.34178377565845,0.98875,TRUE,"Positive"
"BeautySRControl","Human Forgery - Human Original","precright",0.7986084,0.38079642975,1.274630405,NA,NA,NA,1,TRUE,"Positive"
"BeautySRControl","Human Forgery - Human Original","precleft",0.363953045,0.0664996241999999,0.6790284015,NA,NA,NA,0.9925,TRUE,"Positive"
"BeautySRControl","Human Forgery - Human Original","pex",-0.00221489049666359,-0.00621199826971723,0.000475471707771225,-0.221489049666359,-0.621199826971723,0.0475471707771225,0.94525,FALSE,"n.s."
"BeautySRControl","Human Forgery - Human Original","bex",0.00015459145481965,-0.116079816331656,0.125963919399404,0.015459145481965,-11.6079816331656,12.5963919399404,0.50125,FALSE,"n.s."
"BeautySRControl","Human Forgery - Human Original","pmid",-0.00228340942194659,-0.00895773802800184,0.00426925165266131,-0.228340942194659,-0.895773802800184,0.426925165266131,0.756,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Forgery","response",-0.0327387431999991,-0.0479803782294753,-0.017955295004281,-3.27387431999991,-4.79803782294753,-1.7955295004281,1,TRUE,"Negative"
"BeautySRControl","AI-Generated - Human Forgery","mu",-0.0789830843282296,-0.124311835648378,-0.0339221622941136,-7.89830843282297,-12.4311835648378,-3.39221622941136,0.999,TRUE,"Negative"
"BeautySRControl","AI-Generated - Human Forgery","confright",-0.0176270351285258,-0.0304529746962691,-0.00587162326790871,-1.76270351285258,-3.04529746962691,-0.587162326790871,0.99675,TRUE,"Negative"
"BeautySRControl","AI-Generated - Human Forgery","confleft",0.0199373894655949,-0.00154217294091326,0.0408957673465986,1.99373894655949,-0.154217294091326,4.08957673465986,0.965,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Forgery","precright",0.0713338949999995,-0.484553924500001,0.569917198,NA,NA,NA,0.6095,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Forgery","precleft",-0.369387651,-0.71649762975,-0.0434407883749994,NA,NA,NA,0.9855,TRUE,"Negative"
"BeautySRControl","AI-Generated - Human Forgery","pex",0.000148257209731968,-0.00302317241971667,0.00337311562896078,0.0148257209731968,-0.302317241971667,0.337311562896078,0.54125,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Forgery","bex",0.0427927711411136,-0.11089018127928,0.203758371894986,4.27927711411136,-11.089018127928,20.3758371894986,0.7035,FALSE,"n.s."
"BeautySRControl","AI-Generated - Human Forgery","pmid",0.00633122976922713,-0.000301703410718682,0.0136259494792604,0.633122976922713,-0.0301703410718682,1.36259494792604,0.9695,FALSE,"n.s."
"BeautySRBetween","AI-Generated - Human Original","response",-0.0689588659359911,-0.0827407048730318,-0.0550353357869466,-6.89588659359911,-8.27407048730318,-5.50353357869466,1,TRUE,"Negative"
"BeautySRBetween","AI-Generated - Human Original","mu",-0.135717772927558,-0.174191768200551,-0.0943609944575492,-13.5717772927558,-17.4191768200551,-9.43609944575492,1,TRUE,"Negative"
"BeautySRBetween","AI-Generated - Human Original","confright",-0.0610784471195933,-0.0726516759432667,-0.0485118441225308,-6.10784471195933,-7.26516759432667,-4.85118441225308,1,TRUE,"Negative"
"BeautySRBetween","AI-Generated - Human Original","confleft",0.0402529588117157,0.0204353105929486,0.058158921172502,4.02529588117157,2.04353105929486,5.8158921172502,1,TRUE,"Positive"
"BeautySRBetween","AI-Generated - Human Original","precright",0.78806874,0.456692387,1.159544925,NA,NA,NA,1,TRUE,"Positive"
"BeautySRBetween","AI-Generated - Human Original","precleft",0.00337536724999987,-0.24427311675,0.25088711575,NA,NA,NA,0.511,FALSE,"n.s."
"BeautySRBetween","AI-Generated - Human Original","pex",-0.00256348956255962,-0.00693863452211419,0.00057124849082436,-0.256348956255962,-0.693863452211419,0.057124849082436,0.949,FALSE,"n.s."
"BeautySRBetween","AI-Generated - Human Original","bex",0.0544376477530566,-0.0548979658274797,0.179478262091217,5.44376477530566,-5.48979658274797,17.9478262091217,0.8225,FALSE,"n.s."
"BeautySRBetween","AI-Generated - Human Original","pmid",0.0038733789627581,-0.00298054607877584,0.010977177132045,0.38733789627581,-0.298054607877584,1.0977177132045,0.8595,FALSE,"n.s."
"BeautySRBetween","Human Forgery - Human Original","response",-0.0347952427330095,-0.0473828892674482,-0.0227870303264374,-3.47952427330095,-4.73828892674482,-2.27870303264374,1,TRUE,"Negative"
"BeautySRBetween","Human Forgery - Human Original","mu",-0.0548068273761191,-0.0893555232449568,-0.0210191364842307,-5.48068273761191,-8.93555232449568,-2.10191364842307,0.99925,TRUE,"Negative"
"BeautySRBetween","Human Forgery - Human Original","confright",-0.043817063647783,-0.0554230592287903,-0.0322995700154498,-4.3817063647783,-5.54230592287903,-3.22995700154498,1,TRUE,"Negative"
"BeautySRBetween","Human Forgery - Human Original","confleft",0.0204541744604132,0.0014186884489585,0.0408106160483383,2.04541744604132,0.14186884489585,4.08106160483383,0.9825,TRUE,"Positive"
"BeautySRBetween","Human Forgery - Human Original","precright",0.81545763,0.416820796,1.2533017325,NA,NA,NA,1,TRUE,"Positive"
"BeautySRBetween","Human Forgery - Human Original","precleft",0.27029046,0.0123282922000002,0.556375242,NA,NA,NA,0.98,TRUE,"Positive"
