"Parameter","At","Level","Median","CI_low","CI_high","pd"
"confleft",0,"Human Forgery - Human Original",0.537739789855329,-0.103559082130666,1.15016281777403,0.95075
"confleft",0,"AI-Generated - Human Original",-0.07657401673139,-0.742154404399287,0.593746454582211,0.58925
"confleft",0,"AI-Generated - Human Forgery",-0.611397935126878,-1.34786714456614,0.101589183930995,0.95375
"response",0.2,"Human Original",2.77872570375076,2.13382178406252,3.39083088178627,1
"response",0.2,"Human Forgery",2.42280778614623,1.60476739770976,3.2258887722969,1
"response",0.2,"AI-Generated",2.4557991738095,1.6570574175343,3.24084879696029,1
"response",0.2,"Human Forgery - Human Original",-0.365129812597953,-1.28665515428283,0.452991399069069,0.79
"response",0.2,"AI-Generated - Human Original",-0.327633388869375,-1.1170197371082,0.516752565634104,0.766
"response",0.2,"AI-Generated - Human Forgery",0.0480095246474521,-0.990585366430596,1.06795177362218,0.537
"mu",0.2,"Human Original",3.76038865395428,2.74372622858488,4.84001583862104,1
"mu",0.2,"Human Forgery",3.15725007840284,1.87939616035793,4.44644926219329,1
"mu",0.2,"AI-Generated",3.28123157626603,1.99326385483722,4.55864794246186,1
"mu",0.2,"Human Forgery - Human Original",-0.602012506810079,-2.07752308524378,0.74710365676478,0.795
"mu",0.2,"AI-Generated - Human Original",-0.477403198454851,-1.83799464015288,0.866391558745461,0.753
"mu",0.2,"AI-Generated - Human Forgery",0.113247342235223,-1.58426071957307,1.67025047587632,0.55275
"confright",0.2,"Human Original",1.95717689518871,1.39376886033882,2.48861807013523,1
"confright",0.2,"Human Forgery",2.26130778150757,1.55930998215614,2.9605168233271,1
"confright",0.2,"AI-Generated",1.98000040466106,1.25218075279954,2.69929880843145,1
"confright",0.2,"Human Forgery - Human Original",0.313758774136086,-0.463858801351802,1.02022164425408,0.782
"confright",0.2,"AI-Generated - Human Original",0.0250417349010879,-0.76008464027022,0.73969371889171,0.52625
"confright",0.2,"AI-Generated - Human Forgery",-0.274481915255587,-1.22068534899522,0.560877148385375,0.73025
"confleft",0.2,"Human Original",0.014777780015407,-0.688341425735206,0.703548438381163,0.51775
"confleft",0.2,"Human Forgery",0.84332445294194,-0.0873436944242023,1.74176386535363,0.96275
"confleft",0.2,"AI-Generated",0.196569134841118,-0.768215638231151,1.18219867757308,0.656
"confleft",0.2,"Human Forgery - Human Original",0.842919909133544,-0.186928733963088,1.8217177178414,0.94625
"confleft",0.2,"AI-Generated - Human Original",0.197621301883666,-0.90136432284782,1.23664698000242,0.636
"confleft",0.2,"AI-Generated - Human Forgery",-0.652319454369554,-2.0306359873446,0.567286514160159,0.83475
"response",0.4,"Human Original",3.32643986899717,2.51807480461552,4.01379477425701,1
"response",0.4,"Human Forgery",3.1745580639716,2.05480648534762,4.21176696516545,1
"response",0.4,"AI-Generated",3.21635251313529,2.19416462312805,4.15860943091961,1
"response",0.4,"Human Forgery - Human Original",-0.15058431812387,-1.31383514102479,0.92621938451376,0.61075
"response",0.4,"AI-Generated - Human Original",-0.110551857524843,-1.16585858635476,0.869046391846817,0.582
"response",0.4,"AI-Generated - Human Forgery",0.0349032465209453,-1.29736647321543,1.38620710681436,0.519
"mu",0.4,"Human Original",3.93137401915605,2.85143381646946,4.99278400346892,1
"mu",0.4,"Human Forgery",3.71651452075022,2.13729048862421,5.15838191930595,1
"mu",0.4,"AI-Generated",3.86367183580677,2.43796460778656,5.15001157209671,1
"mu",0.4,"Human Forgery - Human Original",-0.224814059555767,-1.78497193025362,1.30631163567407,0.61
"mu",0.4,"AI-Generated - Human Original",-0.0568366799064135,-1.64763342625196,1.291538134503,0.531
"mu",0.4,"AI-Generated - Human Forgery",0.153301479183132,-1.6619555022811,2.06154065250919,0.5615
"confright",0.4,"Human Original",2.74521571683189,1.95314651686418,3.53566261157234,1
"confright",0.4,"Human Forgery",3.01697119738908,2.02212340290198,4.06650465611991,1
"confright",0.4,"AI-Generated",2.8240728044453,1.71552737307556,3.79484030635624,1
"confright",0.4,"Human Forgery - Human Original",0.272013121511927,-0.855352305903945,1.33277236640872,0.69125
"confright",0.4,"AI-Generated - Human Original",0.0745685736916468,-1.03990317060931,1.13645921214711,0.558
"confright",0.4,"AI-Generated - Human Forgery",-0.188495066190675,-1.52979806665521,1.07084333343554,0.613
"confleft",0.4,"Human Original",0.390184003557115,-0.722963995340997,1.47262573958062,0.74925
"confleft",0.4,"Human Forgery",1.5104158449295,0.0326594112044498,2.95350076959178,0.975
