"Participant","MAD","Median","Parameter","Outcome"
"S041",0.0252138333139724,-0.0591372429559794,"AIForg_resp","Beauty"
"S042",0.0273988913177879,-0.0272548340568468,"ForgOri_resp","Beauty"
"S042",0.0460219079360995,-0.0576307043355009,"AIOri_resp","Beauty"
"S042",0.0515923795666634,-0.0237910999980007,"AIForg_resp","Beauty"
"S043",0.0214032537086069,0.0135408430143282,"ForgOri_resp","Beauty"
"S043",0.0264460206015843,-0.0719629325314583,"AIOri_resp","Beauty"
"S043",0.0281078407203465,-0.0845180158306991,"AIForg_resp","Beauty"
"S044",0.0322459666121613,-0.0228014390437488,"ForgOri_resp","Beauty"
"S044",0.0334599546056598,-0.13998871797153,"AIOri_resp","Beauty"
"S044",0.0398530724618809,-0.125503961824331,"AIForg_resp","Beauty"
"S045",0.0213942649235415,-0.100726761013585,"ForgOri_resp","Beauty"
"S045",0.0295041263544253,-0.0597761402768546,"AIOri_resp","Beauty"
"S045",0.0283255870237761,0.0354443828857445,"AIForg_resp","Beauty"
"S046",0.029978746465925,-0.141545435760256,"ForgOri_resp","Beauty"
"S046",0.0433339037255126,-0.0972527557923155,"AIOri_resp","Beauty"
"S046",0.0431630890088365,0.036731784805335,"AIForg_resp","Beauty"
"S047",0.0280657807306819,-0.0888397126037481,"ForgOri_resp","Beauty"
"S047",0.0418878747645035,-0.203846748652277,"AIOri_resp","Beauty"
"S047",0.0345575237238784,-0.112004068810726,"AIForg_resp","Beauty"
"S048",0.0188596725022396,-0.0219008255538386,"ForgOri_resp","Beauty"
"S048",0.029028200591966,-0.00979716579915091,"AIOri_resp","Beauty"
"S048",0.0339424063002674,0.0179841468823219,"AIForg_resp","Beauty"
"S050",0.0125933264303014,-0.0392232485876111,"ForgOri_resp","Beauty"
"S050",0.0148467616487202,-0.0581280742269454,"AIOri_resp","Beauty"
"S050",0.0148078409408182,-0.0182471058288448,"AIForg_resp","Beauty"
"S051",0.014649256779161,0.0161800266075229,"ForgOri_resp","Beauty"
"S051",0.0262555415656589,-0.053290395648836,"AIOri_resp","Beauty"
"S051",0.0235739169322991,-0.0691298961007401,"AIForg_resp","Beauty"
"S052",0.0148982532989585,-0.0273908974850942,"ForgOri_resp","Beauty"
"S052",0.0282462764588355,-0.0817669229587304,"AIOri_resp","Beauty"
"S052",0.0249545453425298,-0.0515334766554978,"AIForg_resp","Beauty"
"S055",0.015486691447257,-0.0291202643158731,"ForgOri_resp","Beauty"
"S055",0.0185859109475002,-0.0600331309697267,"AIOri_resp","Beauty"
"S055",0.0282149237235684,-0.0297508443388516,"AIForg_resp","Beauty"
"S001",0.0876384037621181,0.585080975826765,"Baseline_mu","Beauty"
"S002",0.0601422579684837,0.778047651701753,"Baseline_mu","Beauty"
"S003",0.0648115029484674,0.789418337443274,"Baseline_mu","Beauty"
"S004",0.0571172798401728,0.779570781933907,"Baseline_mu","Beauty"
"S005",0.0873430194432579,0.708335394523288,"Baseline_mu","Beauty"
"S006",0.0375277103702277,0.911881994108503,"Baseline_mu","Beauty"
"S007",0.0300669228360269,0.940229686025725,"Baseline_mu","Beauty"
"S008",0.075152445554618,0.531669239786425,"Baseline_mu","Beauty"
"S009",0.0663463562394523,0.589765623162704,"Baseline_mu","Beauty"
"S010",0.071492269870392,0.621763346831288,"Baseline_mu","Beauty"
"S011",0.0598941862085562,0.720038576205519,"Baseline_mu","Beauty"
"S012",0.0749020716226548,0.57319687819282,"Baseline_mu","Beauty"
"S013",0.172874542853124,0.686188016879553,"Baseline_mu","Beauty"
"S014",0.0256368707671788,0.947011894958741,"Baseline_mu","Beauty"
"S015",0.068893975221862,0.643838875958069,"Baseline_mu","Beauty"
"S016",0.0638136369398731,0.798094426197291,"Baseline_mu","Beauty"
"S017",0.0674774836398585,0.720135855264921,"Baseline_mu","Beauty"
"S018",0.049380797285399,0.477107292559651,"Baseline_mu","Beauty"
"S019",0.0446085551968539,0.842522146881656,"Baseline_mu","Beauty"
"S020",0.0272560177560493,0.943808603549197,"Baseline_mu","Beauty"
"S021",0.067266479144652,0.697734800893088,"Baseline_mu","Beauty"
"S022",0.0393276102508568,0.88978768249519,"Baseline_mu","Beauty"
"S023",0.0652322495758381,0.766679540468085,"Baseline_mu","Beauty"
"S024",0.0677434970384981,0.606153546642467,"Baseline_mu","Beauty"
"S025",0.039748677542966,0.895121165363308,"Baseline_mu","Beauty"
"S026",0.0702385704603109,0.725228915371334,"Baseline_mu","Beauty"
"S027",0.0631601395353311,0.840001184143514,"Baseline_mu","Beauty"
"S028",0.0665303865493074,0.634232644412545,"Baseline_mu","Beauty"
"S029",0.0770835262744513,0.700032782556828,"Baseline_mu","Beauty"
"S030",0.05584802120683,0.746201209021941,"Baseline_mu","Beauty"
"S031",0.0539273376526374,0.871021961327741,"Baseline_mu","Beauty"
"S032",0.0773128703513383,0.556303524109863,"Baseline_mu","Beauty"
"S033",0.0949467784217907,0.496982641501917,"Baseline_mu","Beauty"
"S035",0.0551039632229262,0.192273287329779,"Baseline_mu","Beauty"
"S036",0.0641605926750384,0.71976020302748,"Baseline_mu","Beauty"
"S038",0.0458209785789059,0.619352366969471,"Baseline_mu","Beauty"
"S039",0.0773991386549485,0.69827772056875,"Baseline_mu","Beauty"
"S040",0.0616333703910994,0.556363054355298,"Baseline_mu","Beauty"
"S041",0.0700612795915506,0.609794581412412,"Baseline_mu","Beauty"
"S042",0.0580792589427797,0.648467492888281,"Baseline_mu","Beauty"
"S043",0.0801103377874502,0.541761235678358,"Baseline_mu","Beauty"
"S044",0.0835528493435939,0.602510504638281,"Baseline_mu","Beauty"
"S045",0.05970214795159,0.501138693571027,"Baseline_mu","Beauty"
"S046",0.0515663687157918,0.642009354186355,"Baseline_mu","Beauty"
"S047",0.0782483540340132,0.669119303471643,"Baseline_mu","Beauty"
"S048",0.0725184593158577,0.50619065326361,"Baseline_mu","Beauty"
"S050",0.0721529002737628,0.524431539882902,"Baseline_mu","Beauty"
"S051",0.0746554394591168,0.710716320330399,"Baseline_mu","Beauty"
"S052",0.0632422348658726,0.685359377299219,"Baseline_mu","Beauty"
"S055",0.052403067471139,0.731586667590876,"Baseline_mu","Beauty"
"S001",0.0576277791635053,0.0838036557854016,"ForgOri_mu","Beauty"
"S001",0.0784979400084994,-0.000681822575288704,"AIOri_mu","Beauty"
"S001",0.0808056866133222,-0.0857627999917414,"AIForg_mu","Beauty"
"S002",0.0402332647204544,-0.0343745706896269,"ForgOri_mu","Beauty"
"S002",0.0876597555819374,-0.159910281491084,"AIOri_mu","Beauty"
"S002",0.0725293724698693,-0.12139843647031,"AIForg_mu","Beauty"
"S003",0.0313931992891956,-0.00302631503109946,"ForgOri_mu","Beauty"
"S003",0.075363490773515,-0.128297716492028,"AIOri_mu","Beauty"
"S003",0.0766665136024789,-0.108744858469986,"AIForg_mu","Beauty"
"S004",0.0451412911703128,-0.11348783028836,"ForgOri_mu","Beauty"
"S004",0.0818685387080087,-0.185466204359161,"AIOri_mu","Beauty"
"S004",0.0865393556495195,-0.061291404185218,"AIForg_mu","Beauty"
"S005",0.0480423322619074,-0.183388018198172,"ForgOri_mu","Beauty"
"S005",0.0777942611011506,-0.103587261740323,"AIOri_mu","Beauty"
"S005",0.073469837037886,0.0712247663655606,"AIForg_mu","Beauty"
"S006",0.0300087107960553,-0.0425818596375928,"ForgOri_mu","Beauty"
"S006",0.0947212112624163,-0.295061507416761,"AIOri_mu","Beauty"
"S006",0.0875132136875481,-0.253508975180079,"AIForg_mu","Beauty"
"S007",0.0636768154288477,-0.188516142930698,"ForgOri_mu","Beauty"
"S007",0.0514910581936878,-0.20963545761309,"AIOri_mu","Beauty"
"S007",0.0707207455189116,-0.0204737099255343,"AIForg_mu","Beauty"
"S008",0.0917499915626858,-0.200784302463289,"ForgOri_mu","Beauty"
"S008",0.10163737582194,-0.376949906989437,"AIOri_mu","Beauty"
"S008",0.0774331825984303,-0.164844366826274,"AIForg_mu","Beauty"
"S009",0.0533702789892911,0.0724039648911722,"ForgOri_mu","Beauty"
"S009",0.086242554787725,-0.0372678931053947,"AIOri_mu","Beauty"
"S009",0.0799543014307773,-0.105144643187944,"AIForg_mu","Beauty"
"S010",0.0612127377953514,0.180625217991498,"ForgOri_mu","Beauty"
"S010",0.104582146384194,-0.139063487300895,"AIOri_mu","Beauty"
"S010",0.0831565834647237,-0.308126959985355,"AIForg_mu","Beauty"
"S011",0.0562483877384297,-0.0794154395260278,"ForgOri_mu","Beauty"
"S011",0.069140438532424,-0.0212526527340426,"AIOri_mu","Beauty"
"S011",0.0918015902828175,0.0540095242343741,"AIForg_mu","Beauty"
"S012",0.0515045307427478,-0.106324869683184,"ForgOri_mu","Beauty"
"S012",0.0795918987568533,-0.088044496406597,"AIOri_mu","Beauty"
"S012",0.0777258364546939,0.0171634606046134,"AIForg_mu","Beauty"
"S013",0.0611997424128189,-0.0821385224958044,"ForgOri_mu","Beauty"
"S013",0.138315366445588,-0.238608955715585,"AIOri_mu","Beauty"
"S013",0.137975535975993,-0.150567279455261,"AIForg_mu","Beauty"
"S014",0.0202346848874473,-0.0141154185849982,"ForgOri_mu","Beauty"
"S014",0.0506628214091166,-0.0929616255099647,"AIOri_mu","Beauty"
"S014",0.0516905998764902,-0.0783921662303481,"AIForg_mu","Beauty"
"S015",0.0363520064236254,-0.00693282933543754,"ForgOri_mu","Beauty"
"S015",0.0900417881279416,0.0146732918215824,"AIOri_mu","Beauty"
"S015",0.081480865707664,0.0142486444580382,"AIForg_mu","Beauty"
"S016",0.0327067974794417,0.0152995016514673,"ForgOri_mu","Beauty"
"S016",0.0695538581955449,-0.0624039247091631,"AIOri_mu","Beauty"
"S016",0.0687969685590359,-0.0810772831484186,"AIForg_mu","Beauty"
"S017",0.0473313952556058,0.00889393292833901,"ForgOri_mu","Beauty"
"S017",0.0911600262705072,-0.149206306510326,"AIOri_mu","Beauty"
"S017",0.0887285445365113,-0.151930331241099,"AIForg_mu","Beauty"
"S018",0.0480867690478096,0.0342745759640248,"ForgOri_mu","Beauty"
"S018",0.0671520778149196,-0.0125950887943305,"AIOri_mu","Beauty"
"S018",0.0770827358473567,-0.0450001853141913,"AIForg_mu","Beauty"
"S019",0.0425466054253521,-0.0493797440050886,"ForgOri_mu","Beauty"
"S019",0.0797425299946188,-0.288860571215848,"AIOri_mu","Beauty"
"S019",0.0888492886354751,-0.235629051141403,"AIForg_mu","Beauty"
"S020",0.0181269668762893,-0.0163771120999873,"ForgOri_mu","Beauty"
"S020",0.0214437008096115,0.0019263947974385,"AIOri_mu","Beauty"
"S020",0.023827807670527,0.0133023995551665,"AIForg_mu","Beauty"
"S021",0.0503585739564763,-0.142575211536316,"ForgOri_mu","Beauty"
"S021",0.0789568909806017,-0.0957283969391107,"AIOri_mu","Beauty"
"S021",0.0856393400385589,0.0462905343247668,"AIForg_mu","Beauty"
"S022",0.0372338179170749,-0.0722831465684425,"ForgOri_mu","Beauty"
"S022",0.0607213171724095,-0.0607120722680548,"AIOri_mu","Beauty"
"S022",0.0683474581929169,0.010875288255897,"AIForg_mu","Beauty"
"S023",0.0464508304003532,-0.0600052160990356,"ForgOri_mu","Beauty"
"S023",0.0835864423097804,-0.0432299798875323,"AIOri_mu","Beauty"
"S023",0.0708709527779528,0.0121603102754418,"AIForg_mu","Beauty"
"S024",0.0705054375817399,0.0789975946953921,"ForgOri_mu","Beauty"
"S024",0.11304871645289,0.13782348802932,"AIOri_mu","Beauty"
"S024",0.0904102765271543,0.047261292927982,"AIForg_mu","Beauty"
"S025",0.0285341560551656,-0.045866576311179,"ForgOri_mu","Beauty"
"S025",0.0828396939742051,-0.218289844315921,"AIOri_mu","Beauty"
"S025",0.0819208564819529,-0.168754221920434,"AIForg_mu","Beauty"
"S026",0.0458437087670663,0.114973341135905,"ForgOri_mu","Beauty"
"S026",0.0492422690184202,-0.0803095375025137,"AIOri_mu","Beauty"
"S026",0.0697532754018603,-0.199429988046069,"AIForg_mu","Beauty"
"S027",0.0422016742893358,0.0168934669894211,"ForgOri_mu","Beauty"
"S027",0.0614946146948426,-0.150217061427491,"AIOri_mu","Beauty"
"S027",0.0725727415959941,-0.153336453654396,"AIForg_mu","Beauty"
"S028",0.0535376287353968,0.0166277073592812,"ForgOri_mu","Beauty"
"S028",0.109259785482282,-0.128926050873729,"AIOri_mu","Beauty"
"S028",0.0795741233634424,-0.155055862279385,"AIForg_mu","Beauty"
"S029",0.0408297570000693,-0.153040565042751,"ForgOri_mu","Beauty"
"S029",0.0805079487062589,-0.250762406921556,"AIOri_mu","Beauty"
"S029",0.0727399932993195,-0.0953981926886023,"AIForg_mu","Beauty"
"S030",0.0384681299282647,-0.24899851209229,"ForgOri_mu","Beauty"
"S030",0.0650311722493751,-0.0517595953775783,"AIOri_mu","Beauty"
"S030",0.0589011453910193,0.187885111887037,"AIForg_mu","Beauty"
"S031",0.0438720597912006,-0.0375280833849709,"ForgOri_mu","Beauty"
"S031",0.0806975214953914,-0.103839652098939,"AIOri_mu","Beauty"
"S031",0.0881831351639746,-0.0541730623928658,"AIForg_mu","Beauty"
"S032",0.0524625243270495,-0.0100215546479338,"ForgOri_mu","Beauty"
"S032",0.0840579150435341,0.00430796111417903,"AIOri_mu","Beauty"
"S032",0.0814458452964825,0.0221014113535847,"AIForg_mu","Beauty"
"S033",0.0572025856597069,-0.129145353276902,"ForgOri_mu","Beauty"
"S033",0.107235653739883,-0.155527328396447,"AIOri_mu","Beauty"
"S033",0.0808796224598557,-0.0382744085660411,"AIForg_mu","Beauty"
"S035",0.0427001392332058,0.0504795604504246,"ForgOri_mu","Beauty"
"S035",0.0537502345398645,-0.00807747216098439,"AIOri_mu","Beauty"
"S035",0.0795730051914722,-0.0601221922538795,"AIForg_mu","Beauty"
"S036",0.0622832607390411,-0.177488325130536,"ForgOri_mu","Beauty"
"S036",0.0712942996211794,-0.140240775766534,"AIOri_mu","Beauty"
"S036",0.0737667882368405,0.0355669862124032,"AIForg_mu","Beauty"
"S038",0.0381214809982703,-0.133768480922448,"ForgOri_mu","Beauty"
"S038",0.0866348891118715,-0.141363189779997,"AIOri_mu","Beauty"
"S038",0.0808571046570596,-0.0061075138638168,"AIForg_mu","Beauty"
"S039",0.0637802081626503,-0.0227824325260021,"ForgOri_mu","Beauty"
"S039",0.0852585754606498,-0.156999035353935,"AIOri_mu","Beauty"
"S039",0.0788748185699014,-0.14245122684292,"AIForg_mu","Beauty"
"S040",0.0393444213542383,0.00323570093809766,"ForgOri_mu","Beauty"
"S040",0.101208681386057,-0.113770340757262,"AIOri_mu","Beauty"
"S040",0.0827720228477568,-0.139804755797389,"AIForg_mu","Beauty"
"S041",0.0504412873000051,-0.039926785027368,"ForgOri_mu","Beauty"
"S041",0.0726573483508868,-0.200228011861284,"AIOri_mu","Beauty"
"S041",0.0811048308304791,-0.160433558231686,"AIForg_mu","Beauty"
"S042",0.0501156200195016,-0.0236649866407122,"ForgOri_mu","Beauty"
"S042",0.0961468215785309,-0.055677166344242,"AIOri_mu","Beauty"
"S042",0.0913350851834056,-0.0418919212288419,"AIForg_mu","Beauty"
"S043",0.0725197877851294,0.0461077132000317,"ForgOri_mu","Beauty"
"S043",0.076919064438476,-0.179627829680114,"AIOri_mu","Beauty"
"S043",0.0836117133268811,-0.226876778737604,"AIForg_mu","Beauty"
