"Type","Predictor","Level","Outcome","Effect","Median","CI_low","CI_high","pd","Table","At","Old (hits)","New (false alarms)","New - Old","pd_fmt"
"joint","Beauty2_w","New","P(Human Forgery | recognised)","Extremity",0.86202317969888,-2.47190864936638,4.2757789078738,0.6935,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(Human Forgery | recognised)","Asymmetry",-2.27452980390484,-9.36376753956933,5.1366110709355,0.73825,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Forgery | recognised)","-2 SD",0.589773461692563,-4.40537791333802,6.37353567977432,0.57375,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Forgery | recognised)","-1 SD",0.300970315048111,-1.67317594125676,2.48628030760209,0.6055,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Forgery | recognised)","+1 SD",-0.325989813400131,-1.9908381963927,1.34302294391744,0.651,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Forgery | recognised)","+2 SD",-0.704861306689916,-4.32679247166323,3.34687175397769,0.63425,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Forgery | recognised)","Extremity",0.0384427392443039,-3.24757554362991,3.17628686272404,0.50725,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(Human Forgery | recognised)","Asymmetry",-1.26250573793276,-7.84087204104867,6.01403922384227,0.6405,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Forgery | recognised)","-2 SD",1.82369039942133,-3.56920400938108,7.47616552319206,0.75575,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Forgery | recognised)","-1 SD",0.678847537820547,-1.48918597847514,2.87825482548516,0.74125,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Forgery | recognised)","+1 SD",-0.252472528684314,-2.22322696384262,1.89065727284699,0.60175,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Forgery | recognised)","+2 SD",-0.134290463756456,-4.59941158485458,5.35238524393558,0.52175,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Forgery | recognised)","Extremity",1.00461800543798,-2.12510389106989,4.63005334091051,0.72175,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(Human Forgery | recognised)","Asymmetry",-1.94967513761319,-10.4963034910059,6.11679619954165,0.69025,"Probability (pp)",NA,NA,NA,NA,NA
